,H1,H4,GS
Real Data,0.23086157504528337,0.15070272114739233,0.09667503989855787
gpt2_epoch_100,0.3816285288386886,0.3886607204125344,0.09310554961023171
gpt2_epoch_150,0.29474732889352906,0.2053220285022607,0.09689534175902761
gpt2_epoch_200,0.23698140466158688,0.19502734998775614,0.10059424787946382
transformer_xl_epoch_100,0.1856069715924722,0.12342266367937023,0.0880147046827763
transformer_xl_epoch_150,0.2481486366325588,0.20262944352223838,0.08441790452208243
transformer_xl_epoch_200,0.3554888480511436,0.3349547115020322,0.10393205482756246
cpword_loss050,0.2356008626097227,0.3223448846842795,0.08541147224872331
cpword_loss036,0.2336437006588439,0.23368438322784402,0.05514353942984354
cpword_loss030,0.2167351490507523,0.19313748627838928,0.13276126007037886
